ts,event,version,trained_on_samples
1764404435.8978844,retrained,1,50
1764404445.913957,retrained,2,51
1764404455.945,retrained,3,52
1764404465.942307,retrained,4,53
1764404475.9650955,retrained,5,54
1764404486.0431032,retrained,6,55
1764404496.0204468,retrained,7,56
1764404506.056761,retrained,8,57
1764404516.0561686,retrained,9,58
1764404526.0771725,retrained,10,59
1764404536.0757315,retrained,11,60
1764404546.0867867,retrained,12,61
1764404556.1054661,retrained,13,62
1764404566.114674,retrained,14,63
1764404576.1183915,retrained,15,64
1764404586.116719,retrained,16,65
1764404596.139213,retrained,17,66
1764404606.143364,retrained,18,67
1764404616.0206904,retrained,19,68
1764404626.010109,retrained,20,69
1764404636.009145,retrained,21,70
1764404646.01162,retrained,22,71
1764404656.023605,retrained,23,72
1764404666.0490963,retrained,24,73
1764404676.0518563,retrained,25,74
1764404686.0552843,retrained,26,75
1764404696.0858994,retrained,27,76
1764404706.0873902,retrained,28,77
1764404716.1136296,retrained,29,78
1764404726.1408331,retrained,30,79
1764404736.1520545,retrained,31,80
1764404746.1724095,retrained,32,81
1764404756.1869025,retrained,33,82
1764404766.2116008,retrained,34,83
1764404776.2160895,retrained,35,84
1764404786.2162185,retrained,36,85
1764404796.24471,retrained,37,86
1764404806.2584867,retrained,38,87
1764404816.2718616,retrained,39,88
1764404826.2805421,retrained,40,89
1764404836.303487,retrained,41,90
1764404846.3189564,retrained,42,91
1764404856.3462918,retrained,43,92
1764404866.373541,retrained,44,93
1764404876.3988562,retrained,45,94
1764404886.4497364,retrained,46,95
1764404896.478326,retrained,47,96
1764404906.4875765,retrained,48,97
1764404916.5051265,retrained,49,98
1764404926.5180194,retrained,50,99
1764404936.5453062,retrained,51,100
1764404946.549792,retrained,52,101
1764404956.5520222,retrained,53,102
1764404966.5635102,retrained,54,103
1764404976.5800714,retrained,55,104
1764404986.628462,retrained,56,105
1764404996.6490376,retrained,57,106
1764405006.6713681,retrained,58,107
1764405016.6842763,retrained,59,108
1764405026.6988714,retrained,60,109
1764405036.7182295,retrained,61,110
1764405046.7318633,retrained,62,111
1764405056.7758033,retrained,63,112
1764405066.7994692,retrained,64,113
1764405076.8428338,retrained,65,114
1764405086.8920019,retrained,66,115
1764405096.9179688,retrained,67,116
1764405106.9194512,retrained,68,117
1764405116.9478028,retrained,69,118
1764405126.972303,retrained,70,119
1764405137.0185838,retrained,71,120
1764405147.037666,retrained,72,121
1764405157.0428371,retrained,73,122
1764405167.0708957,retrained,74,123
1764405177.0742702,retrained,75,124
1764405187.113837,retrained,76,125
1764405197.1360233,retrained,77,126
1764405207.1635017,retrained,78,127
1764405217.1726167,retrained,79,128
1764405227.165371,retrained,80,129
1764405237.2019722,retrained,81,130
1764405247.2120745,retrained,82,131
1764405257.214403,retrained,83,132
1764405267.2417157,retrained,84,133
1764405277.2817104,retrained,85,134
1764405287.2988944,retrained,86,135
1764405297.3163724,retrained,87,136
1764405307.3206713,retrained,88,137
1764405317.3256845,retrained,89,138
1764405327.3522115,retrained,90,139
1764405337.375865,retrained,91,140
1764405347.402347,retrained,92,141
1764405496.0277429,retrained,93,142
1764405506.0202143,retrained,94,143
1764405516.0244613,retrained,95,144
1764405526.048965,retrained,96,145
1764405536.0715575,retrained,97,146
1764405546.0707195,retrained,98,147
1764405556.1006107,retrained,99,148
1764405566.1312037,retrained,100,149
1764405576.1317058,retrained,101,150
1764405586.1439903,retrained,102,151
1764405596.1469734,retrained,103,152
1764405606.1425676,retrained,104,153
1764405616.1582155,retrained,105,154
1764405626.1916683,retrained,106,155
1764405636.214635,retrained,107,156
1764405646.2448509,retrained,108,157
1764405656.2727032,retrained,109,158
1764405666.302661,retrained,110,159
1764405676.328313,retrained,111,160
1764405686.334754,retrained,112,161
1764405696.3582697,retrained,113,162
1764405706.3584447,retrained,114,163
1764405716.3921523,retrained,115,164
1764405726.3977768,retrained,116,165
1764405736.4025564,retrained,117,166
1764405746.4247372,retrained,118,167
1764405756.4377239,retrained,119,168
1764405766.4706883,retrained,120,169
1764405776.4774916,retrained,121,170
1764405786.48186,retrained,122,171
1764405796.518315,retrained,123,172
1764405806.537411,retrained,124,173
1764405816.5439017,retrained,125,174
1764405826.560016,retrained,126,175
1764405836.5741706,retrained,127,176
1764405846.6040325,retrained,128,177
1764405856.6163013,retrained,129,178
1764405866.6181824,retrained,130,179
1764405876.631771,retrained,131,180
1764405886.631413,retrained,132,181
1764405896.644211,retrained,133,182
1764405906.6789365,retrained,134,183
1764405916.700974,retrained,135,184
1764405926.7052727,retrained,136,185
1764405936.7381172,retrained,137,186
1764405946.7405672,retrained,138,187
1764405956.7690606,retrained,139,188
1764405966.7899325,retrained,140,189
1764405976.829916,retrained,141,190
1764405986.8464274,retrained,142,191
1764405996.875742,retrained,143,192
1764406006.890883,retrained,144,193
1764406016.9187534,retrained,145,194
1764406026.9198973,retrained,146,195
1764406036.9499567,retrained,147,196
1764406046.9593618,retrained,148,197
1764406056.9937646,retrained,149,198
1764406067.000017,retrained,150,199
1764406077.0285077,retrained,151,200
1764406087.026855,retrained,152,201
1764406097.0765002,retrained,153,202
1764406107.1188607,retrained,154,203
1764406117.1356454,retrained,155,204
1764406127.1501386,retrained,156,205
1764406137.1605194,retrained,157,206
1764406147.1690965,retrained,158,207
1764406157.2037919,retrained,159,208
1764406167.2152433,retrained,160,209
1764406177.2237523,retrained,161,210
1764406187.2358763,retrained,162,211
1764406197.2380896,retrained,163,212
